secType,conId,symbol,lastTradeDateOrContractMonth,strike,right,multiplier,exchange,primaryExchange,currency,localSymbol,tradingClass,includeExpired,secIdType,secId,description,issuerId,comboLegsDescrip,comboLegs,deltaNeutralContract,contract_obj
OPT,634664932,SPY,20231118,434.0,P,100,SMART,,USD,SPY   231117P00434000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634664932, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=434.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00434000', tradingClass='SPY')"
OPT,649700081,SPY,20231118,464.0,P,100,SMART,,USD,SPY   231117P00464000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=649700081, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=464.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00464000', tradingClass='SPY')"
OPT,634664908,SPY,20231118,433.0,P,100,SMART,,USD,SPY   231117P00433000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634664908, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=433.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00433000', tradingClass='SPY')"
OPT,634665050,SPY,20231118,465.0,P,100,SMART,,USD,SPY   231117P00465000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634665050, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=465.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00465000', tradingClass='SPY')"
OPT,634664879,SPY,20231118,432.0,P,100,SMART,,USD,SPY   231117P00432000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634664879, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=432.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00432000', tradingClass='SPY')"
OPT,650579015,SPY,20231118,466.0,P,100,SMART,,USD,SPY   231117P00466000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=650579015, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=466.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00466000', tradingClass='SPY')"
OPT,634664845,SPY,20231118,431.0,P,100,SMART,,USD,SPY   231117P00431000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634664845, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=431.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00431000', tradingClass='SPY')"
OPT,654560103,SPY,20231118,449.0,C,100,SMART,,USD,SPY   231117C00449000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=654560103, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=449.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00449000', tradingClass='SPY')"
OPT,649699414,SPY,20231118,448.0,C,100,SMART,,USD,SPY   231117C00448000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=649699414, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=448.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00448000', tradingClass='SPY')"
OPT,634374664,SPY,20231118,450.0,C,100,SMART,,USD,SPY   231117C00450000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634374664, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=450.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00450000', tradingClass='SPY')"
OPT,654560041,SPY,20231118,447.0,C,100,SMART,,USD,SPY   231117C00447000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=654560041, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=447.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00447000', tradingClass='SPY')"
OPT,654560164,SPY,20231118,451.0,C,100,SMART,,USD,SPY   231117C00451000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=654560164, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=451.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00451000', tradingClass='SPY')"
OPT,649699376,SPY,20231118,446.0,C,100,SMART,,USD,SPY   231117C00446000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=649699376, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=446.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00446000', tradingClass='SPY')"
OPT,649699460,SPY,20231118,452.0,C,100,SMART,,USD,SPY   231117C00452000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=649699460, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=452.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00452000', tradingClass='SPY')"
OPT,634374658,SPY,20231118,445.0,C,100,SMART,,USD,SPY   231117C00445000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634374658, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=445.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00445000', tradingClass='SPY')"
OPT,654560220,SPY,20231118,453.0,C,100,SMART,,USD,SPY   231117C00453000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=654560220, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=453.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00453000', tradingClass='SPY')"
OPT,649699346,SPY,20231118,444.0,C,100,SMART,,USD,SPY   231117C00444000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=649699346, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=444.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00444000', tradingClass='SPY')"
OPT,649699494,SPY,20231118,454.0,C,100,SMART,,USD,SPY   231117C00454000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=649699494, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=454.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00454000', tradingClass='SPY')"
OPT,654559982,SPY,20231118,443.0,C,100,SMART,,USD,SPY   231117C00443000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=654559982, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=443.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00443000', tradingClass='SPY')"
OPT,634662722,SPY,20231118,455.0,C,100,SMART,,USD,SPY   231117C00455000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634662722, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=455.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00455000', tradingClass='SPY')"
OPT,649699287,SPY,20231118,442.0,C,100,SMART,,USD,SPY   231117C00442000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=649699287, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=442.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00442000', tradingClass='SPY')"
OPT,649699550,SPY,20231118,456.0,C,100,SMART,,USD,SPY   231117C00456000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=649699550, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=456.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00456000', tradingClass='SPY')"
OPT,654556311,SPY,20231118,441.0,C,100,SMART,,USD,SPY   231117C00441000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=654556311, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=441.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00441000', tradingClass='SPY')"
OPT,654560289,SPY,20231118,457.0,C,100,SMART,,USD,SPY   231117C00457000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=654560289, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=457.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00457000', tradingClass='SPY')"
OPT,634374654,SPY,20231118,440.0,C,100,SMART,,USD,SPY   231117C00440000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634374654, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=440.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00440000', tradingClass='SPY')"
OPT,649699631,SPY,20231118,458.0,C,100,SMART,,USD,SPY   231117C00458000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=649699631, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=458.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00458000', tradingClass='SPY')"
OPT,634662679,SPY,20231118,439.0,C,100,SMART,,USD,SPY   231117C00439000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634662679, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=439.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00439000', tradingClass='SPY')"
OPT,654560369,SPY,20231118,459.0,C,100,SMART,,USD,SPY   231117C00459000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=654560369, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=459.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00459000', tradingClass='SPY')"
OPT,634662647,SPY,20231118,438.0,C,100,SMART,,USD,SPY   231117C00438000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634662647, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=438.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00438000', tradingClass='SPY')"
OPT,634662757,SPY,20231118,460.0,C,100,SMART,,USD,SPY   231117C00460000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634662757, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=460.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00460000', tradingClass='SPY')"
OPT,634662618,SPY,20231118,437.0,C,100,SMART,,USD,SPY   231117C00437000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634662618, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=437.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00437000', tradingClass='SPY')"
OPT,664736663,SPY,20231118,461.0,C,100,SMART,,USD,SPY   231117C00461000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=664736663, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=461.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00461000', tradingClass='SPY')"
OPT,634662593,SPY,20231118,436.0,C,100,SMART,,USD,SPY   231117C00436000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634662593, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=436.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00436000', tradingClass='SPY')"
OPT,649699684,SPY,20231118,462.0,C,100,SMART,,USD,SPY   231117C00462000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=649699684, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=462.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00462000', tradingClass='SPY')"
OPT,634374644,SPY,20231118,435.0,C,100,SMART,,USD,SPY   231117C00435000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634374644, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=435.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00435000', tradingClass='SPY')"
OPT,664736723,SPY,20231118,463.0,C,100,SMART,,USD,SPY   231117C00463000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=664736723, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=463.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00463000', tradingClass='SPY')"
OPT,634662573,SPY,20231118,434.0,C,100,SMART,,USD,SPY   231117C00434000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634662573, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=434.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00434000', tradingClass='SPY')"
OPT,649699727,SPY,20231118,464.0,C,100,SMART,,USD,SPY   231117C00464000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=649699727, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=464.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00464000', tradingClass='SPY')"
OPT,634662545,SPY,20231118,433.0,C,100,SMART,,USD,SPY   231117C00433000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634662545, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=433.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00433000', tradingClass='SPY')"
OPT,634662785,SPY,20231118,465.0,C,100,SMART,,USD,SPY   231117C00465000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634662785, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=465.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00465000', tradingClass='SPY')"
OPT,634662507,SPY,20231118,432.0,C,100,SMART,,USD,SPY   231117C00432000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634662507, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=432.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00432000', tradingClass='SPY')"
OPT,650578672,SPY,20231118,466.0,C,100,SMART,,USD,SPY   231117C00466000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=650578672, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=466.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00466000', tradingClass='SPY')"
OPT,634662467,SPY,20231118,431.0,C,100,SMART,,USD,SPY   231117C00431000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634662467, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=431.0, right='C', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117C00431000', tradingClass='SPY')"
